customer_number,usia,pekerjaan,status_perkawinan,pendidikan,gagal_bayar_sebelumnya,pinjaman_rumah,pinjaman_pribadi,jenis_kontak,bulan_kontak_terakhir,hari_kontak_terakhir,jumlah_kontak_kampanye_ini,hari_sejak_kontak_sebelumnya,jumlah_kontak_sebelumnya,hasil_kampanye_sebelumnya,tingkat_variasi_pekerjaan,indeks_harga_konsumen,indeks_kepercayaan_konsumen,suku_bunga_euribor_3bln,jumlah_pekerja,pulau,berlangganan_deposito,high_rate_flag,job_sector
970584,38,0,1,6,0,1,1,1,2,3,3,999,0,0,1.1,93.994,-36.4,4.859,5191.0,4,0,1,0
661071,29,1,0,5,0,0,0,0,8,4,1,999,1,1,-0.1,93.2,-42.0,4.076,5195.8,0,0,1,0
325590,26,0,1,4,0,0,0,0,1,3,1,999,0,0,-1.8,93.075,-47.1,1.415,5099.1,0,1,0,0
209079,31,2,0,2,1,0,0,1,2,4,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,4,0,1,1
189248,32,0,0,4,0,0,0,1,7,2,1,999,0,0,-0.1,93.798,-40.4,4.968,5195.8,5,1,1,0
447956,26,5,1,4,0,1,0,0,5,3,1,14,1,2,-1.7,94.027,-38.3,0.903,4991.6,7,1,0,2
139819,31,0,2,6,0,1,0,1,8,2,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,2,0,1,0
679927,48,0,0,3,1,0,0,1,2,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,6,0,1,0
957643,30,0,1,6,0,1,0,0,4,4,3,999,0,0,1.4,93.918,-42.7,4.968,5228.1,6,0,1,0
191481,44,1,0,5,0,0,0,0,2,1,2,999,0,0,-1.8,92.893,-46.2,1.299,5099.1,6,0,0,0
714247,30,2,0,2,0,0,0,1,2,4,3,999,0,0,1.1,93.994,-36.4,4.855,5191.0,1,0,1,1
830184,47,1,0,6,0,1,0,0,8,5,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,3,0,1,0
840111,45,6,1,7,0,0,0,0,1,5,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,7,0,0,1
191193,24,1,2,5,0,0,0,0,1,5,1,999,1,1,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0
574220,50,2,2,4,0,0,0,1,2,3,6,999,0,0,1.1,93.994,-36.4,4.858,5191.0,0,0,1,1
437073,33,6,0,4,0,1,1,1,3,1,1,999,0,0,-1.7,94.055,-39.8,0.754,4991.6,7,0,0,1
136554,32,9,0,4,0,1,0,0,8,4,1,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,0,1,1,2
812567,47,0,1,6,0,1,1,1,2,5,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,7,0,1,0
285592,51,3,2,6,0,0,0,0,2,3,2,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,3,0,0,0
638322,33,6,0,4,0,0,1,0,2,1,2,999,1,1,-1.8,92.893,-46.2,1.354,5099.1,7,0,0,1
236315,47,2,0,3,0,1,0,1,3,1,3,999,0,0,1.4,94.465,-41.8,4.96,5228.1,2,0,1,1
260448,29,0,1,6,0,1,0,0,6,3,2,999,1,1,-3.4,92.379,-29.8,0.781,5017.5,4,0,0,0
326136,53,10,2,4,0,0,1,1,2,4,5,999,0,0,1.1,93.994,-36.4,4.86,5191.0,5,0,1,2
930016,51,3,0,6,0,1,0,1,2,5,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,4,0,1,0
617025,56,8,2,6,0,2,2,0,1,3,2,999,1,1,-1.8,93.075,-47.1,1.498,5099.1,0,0,0,0
649797,57,4,0,1,0,0,0,0,5,3,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,7,1,1,1
495382,31,2,0,2,1,1,0,1,2,3,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,1,0,1,1
711009,29,1,0,5,0,1,0,0,5,1,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,4,0,1,0
452912,54,0,2,4,0,0,1,0,8,5,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0
618276,45,6,1,4,0,1,0,0,2,5,2,999,0,0,-1.8,92.893,-46.2,1.313,5099.1,2,0,0,1
469761,56,6,0,4,1,1,0,1,4,4,11,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,1,1
545362,32,2,0,2,0,0,0,1,3,3,1,999,0,0,1.4,94.465,-41.8,4.959,5228.1,6,0,1,1
601299,40,0,2,3,0,1,1,0,4,5,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,1,0,1,0
619598,25,2,1,3,0,0,0,0,2,5,2,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,3,0,0,1
650037,27,0,0,4,0,0,0,0,2,4,1,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,3,0,0,0
232685,40,8,0,3,0,1,0,1,3,4,3,999,0,0,1.4,94.465,-41.8,4.866,5228.1,4,0,1,0
198132,32,6,1,4,0,0,0,1,3,5,1,999,0,0,1.4,94.465,-41.8,4.947,5228.1,3,0,1,1
783142,49,0,2,4,0,1,0,0,3,5,1,999,0,0,-2.9,92.963,-40.8,1.268,5076.2,0,0,0,0
688221,34,2,0,4,1,1,0,1,4,3,4,999,0,0,1.4,93.918,-42.7,4.963,5228.1,2,0,1,1
822445,29,2,1,1,0,1,0,0,2,5,9,999,1,1,-1.8,92.893,-46.2,1.25,5099.1,1,0,0,1
360256,31,1,0,6,0,1,0,0,8,2,2,999,1,1,-0.1,93.2,-42.0,4.153,5195.8,6,0,1,0
310232,37,2,0,2,0,0,0,1,2,1,1,999,0,0,1.1,93.994,-36.4,4.858,5191.0,3,0,1,1
370034,38,2,0,5,0,0,0,0,2,5,1,999,1,1,-1.8,92.893,-46.2,1.313,5099.1,1,0,0,1
624716,44,6,0,4,0,0,0,0,2,5,1,999,1,1,-1.8,92.893,-46.2,1.313,5099.1,2,0,0,1
691795,34,8,0,5,0,1,0,1,2,5,4,999,0,0,1.1,93.994,-36.4,4.864,5191.0,2,0,1,0
455526,46,7,0,3,1,0,0,1,2,1,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0
179391,30,9,0,4,0,0,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,4,0,1,2
960357,42,0,1,6,0,1,0,0,5,1,2,999,0,0,-1.7,94.027,-38.3,0.898,4991.6,0,0,0,0
576130,43,0,2,4,0,1,1,0,2,4,2,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,4,0,0,0
810702,38,11,0,7,0,1,0,0,5,4,10,999,0,0,1.4,93.444,-36.1,4.962,5228.1,5,0,1,2
959287,54,0,0,6,1,1,0,1,3,3,10,999,0,0,1.4,94.465,-41.8,4.864,5228.1,5,0,1,0
617908,52,10,0,6,0,0,0,0,8,5,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,2
365511,36,2,0,7,0,0,0,1,2,3,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1,0,1,1
769161,29,0,1,6,0,1,1,0,3,4,1,999,0,0,-2.9,92.963,-40.8,1.26,5076.2,6,1,0,0
164733,50,0,0,4,0,0,0,0,8,3,3,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,1,0,1,0
742597,28,2,0,3,1,0,0,0,2,4,1,999,1,1,-1.8,92.893,-46.2,1.266,5099.1,5,0,0,1
825715,24,6,1,4,0,1,1,0,2,1,1,999,1,1,-1.8,92.893,-46.2,1.299,5099.1,5,0,0,1
678732,42,0,0,5,0,1,0,0,8,3,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,4,0,1,0
796579,45,2,0,4,0,0,0,1,3,3,4,999,0,0,1.4,94.465,-41.8,4.864,5228.1,6,0,1,1
610922,57,3,0,6,0,1,0,1,2,4,4,999,0,0,1.1,93.994,-36.4,4.86,5191.0,6,0,1,0
682905,42,6,0,4,0,1,0,1,2,2,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,2,0,1,1
486135,31,0,1,6,0,0,1,0,8,3,2,3,6,2,-1.1,94.767,-50.8,1.048,4963.6,6,0,0,0
934800,26,6,1,6,0,1,0,0,4,3,8,999,0,0,1.4,93.918,-42.7,4.963,5228.1,6,0,1,1
504265,25,4,0,3,0,0,0,1,3,5,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,7,0,1,1
288999,25,5,1,4,0,1,0,0,8,1,3,999,0,0,-3.4,92.649,-30.1,0.714,5017.5,3,0,0,2
916383,49,2,0,1,0,1,0,0,5,3,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,6,0,1,1
113508,46,3,0,6,0,1,0,1,2,5,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0
897735,36,0,0,5,0,0,0,0,5,5,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0
644196,35,9,2,6,0,0,0,0,1,2,1,999,1,1,-1.8,93.075,-47.1,1.453,5099.1,5,0,0,2
488917,28,9,1,4,0,0,1,0,2,2,1,3,1,2,-1.8,92.893,-46.2,1.266,5099.1,6,0,0,2
164537,57,3,2,6,0,1,0,1,2,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,5,0,1,0
740192,33,3,1,6,0,1,0,0,1,3,1,999,0,0,-1.8,93.075,-47.1,1.498,5099.1,7,0,0,0
480373,40,0,0,3,0,0,0,1,2,2,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,4,0,1,0
830804,34,1,1,6,0,0,0,1,5,4,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,1,0
655838,45,3,0,6,0,1,0,1,3,2,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,7,0,1,0
606619,52,0,0,6,0,1,0,0,2,4,2,999,0,0,-1.8,93.876,-40.0,0.677,5008.7,6,0,0,0
247752,47,2,2,1,0,0,1,1,3,3,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,1
155400,31,2,1,4,0,1,0,0,2,3,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,6,0,0,1
961348,44,2,2,2,1,1,0,1,2,4,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,2,0,1,1
144309,34,0,0,4,0,1,0,1,3,5,1,999,0,0,1.4,94.465,-41.8,4.947,5228.1,7,0,1,0
531924,23,0,1,6,0,1,0,0,4,3,1,999,2,1,-1.7,94.215,-40.3,0.881,4991.6,5,0,0,0
413679,57,10,0,4,1,1,1,0,5,3,8,999,0,0,1.4,93.444,-36.1,4.964,5228.1,7,0,1,2
712858,57,11,0,7,1,1,0,1,2,1,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,7,0,1,2
316448,44,2,1,3,0,1,0,0,2,1,2,999,1,1,-1.8,92.893,-46.2,1.244,5099.1,1,1,0,1
654013,36,4,0,4,0,1,1,1,2,5,3,999,0,0,1.1,93.994,-36.4,4.864,5191.0,1,0,1,1
548637,47,2,0,5,0,1,0,0,4,5,1,999,0,0,-2.9,92.469,-33.6,1.059,5076.2,7,1,0,1
705165,43,1,2,7,0,0,0,1,2,3,9,999,0,0,1.1,93.994,-36.4,4.857,5191.0,2,0,1,0
924228,50,3,0,6,0,0,0,0,5,2,3,4,1,2,-2.9,92.201,-31.4,0.883,5076.2,7,0,0,0
929608,45,0,0,7,1,1,0,0,4,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,1,0
545081,28,5,1,7,0,0,0,0,5,4,4,999,1,1,-2.9,92.201,-31.4,0.829,5076.2,7,1,0,2
573004,24,2,0,3,0,0,0,0,1,4,1,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,7,0,0,1
249263,34,8,1,6,0,1,0,0,2,4,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,2,0,0,0
278194,40,1,0,5,0,0,0,0,4,3,5,999,0,0,1.4,93.918,-42.7,4.963,5228.1,3,0,1,0
698419,30,0,1,6,0,1,0,0,8,4,1,999,1,1,-0.1,93.2,-42.0,4.076,5195.8,0,0,1,0
355961,55,2,0,1,1,1,1,1,3,1,2,999,0,0,1.4,94.465,-41.8,4.865,5228.1,2,0,1,1
860305,38,0,1,7,1,0,0,1,3,2,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0
835886,57,3,0,6,1,0,0,1,3,1,3,999,0,0,1.4,94.465,-41.8,4.96,5228.1,3,0,1,0
954181,34,0,1,6,0,0,0,1,3,4,2,999,0,0,1.4,94.465,-41.8,4.955,5228.1,7,0,1,0
838177,32,7,0,3,0,1,0,0,2,4,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,2,0,0,0
447530,58,6,0,4,0,0,0,0,0,1,2,3,1,2,-1.8,93.369,-34.8,0.635,5008.7,0,1,0,1
606782,51,0,0,4,0,0,0,1,3,5,4,999,0,0,1.4,94.465,-41.8,4.967,5228.1,3,0,1,0
933438,41,1,0,5,0,1,0,0,5,2,2,999,0,0,1.4,93.444,-36.1,4.966,5228.1,5,0,1,0
228475,34,6,0,4,0,1,0,0,1,3,1,999,0,0,-1.8,93.075,-47.1,1.445,5099.1,0,0,0,1
167970,40,10,0,5,0,0,0,1,2,2,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,2
529586,40,2,0,3,1,0,0,1,2,1,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,7,0,1,1
198870,38,1,1,5,0,1,1,0,8,5,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0
157540,45,2,1,4,1,0,0,1,3,1,1,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,1
464277,37,6,0,4,1,0,0,1,2,3,1,999,0,0,1.1,93.994,-36.4,4.858,5191.0,5,0,1,1
695408,32,6,1,7,1,1,0,0,4,2,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,4,1,1,1
106993,44,9,0,4,0,1,0,1,5,4,1,999,0,0,-2.9,92.201,-31.4,0.873,5076.2,2,0,0,2
597106,40,2,0,4,0,1,0,0,8,5,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,2,0,1,1
826198,49,0,0,6,1,0,0,0,5,4,2,999,0,0,1.4,93.444,-36.1,4.962,5228.1,7,0,1,0
465493,45,1,0,5,0,1,0,1,2,3,5,999,0,0,1.1,93.994,-36.4,4.856,5191.0,3,0,1,0
436438,34,0,2,6,0,0,1,0,1,1,1,999,1,1,-1.8,93.075,-47.1,1.405,5099.1,1,0,0,0
442437,27,2,1,4,0,0,0,0,8,2,2,8,2,1,-3.4,92.649,-30.1,0.715,5017.5,4,1,0,1
815881,31,7,0,1,1,1,0,0,5,4,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,4,0,1,0
271648,39,3,0,4,0,0,0,0,5,3,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0
652909,49,2,0,3,0,0,0,1,4,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,6,0,1,1
289767,40,0,0,6,0,0,0,0,3,2,1,999,1,1,-2.9,92.963,-40.8,1.262,5076.2,3,0,0,0
396739,37,9,1,6,0,0,0,0,8,4,2,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,7,0,1,2
696623,44,3,1,6,1,1,0,1,2,1,4,999,0,0,1.1,93.994,-36.4,4.857,5191.0,6,1,1,0
735524,36,2,0,3,0,1,0,1,2,1,1,999,1,1,-1.8,92.893,-46.2,1.299,5099.1,3,0,0,1
159716,34,1,1,5,0,1,0,0,0,5,1,999,0,0,-1.8,92.843,-50.0,1.726,5099.1,3,1,0,0
531389,45,7,0,1,0,2,2,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,5,0,1,0
627606,48,1,0,5,0,1,0,1,2,4,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,7,0,1,0
678633,47,0,0,6,0,1,0,1,3,2,9,999,0,0,1.4,94.465,-41.8,4.864,5228.1,2,0,1,0
682505,57,3,0,6,0,1,0,0,5,4,2,999,0,0,1.4,93.444,-36.1,4.962,5228.1,4,0,1,0
735469,27,1,1,4,0,1,0,0,4,1,11,999,0,0,1.4,93.918,-42.7,4.96,5228.1,5,0,1,0
817242,60,3,0,5,0,1,0,0,7,3,2,999,0,0,-3.4,92.431,-26.9,0.724,5017.5,0,0,0,0
787339,49,1,0,5,0,0,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,2,0,1,0
981226,36,2,1,4,0,0,0,0,4,5,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,0,1,1
544435,28,2,1,3,0,1,0,0,2,4,1,999,1,1,-1.8,92.893,-46.2,1.266,5099.1,6,0,0,1
786617,52,1,0,3,0,1,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,2,0,1,0
671336,61,10,0,4,0,0,0,1,7,2,1,999,0,0,-3.4,92.431,-26.9,0.728,5017.5,6,0,0,2
591833,40,6,0,2,0,1,0,0,4,1,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,5,0,1,1
309648,31,0,0,4,0,0,1,1,2,4,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,2,0,1,0
764538,24,5,1,4,1,1,0,0,4,2,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,1,2
586644,55,2,2,1,0,0,0,0,8,1,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,1
242007,49,6,0,4,1,1,0,0,4,3,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,6,0,1,1
342545,39,1,2,5,0,1,0,0,5,4,2,999,0,0,1.4,93.444,-36.1,4.962,5228.1,4,0,1,0
384137,33,0,0,4,0,1,0,1,5,3,2,999,0,0,-2.9,92.201,-31.4,0.854,5076.2,3,0,0,0
787975,41,7,0,4,0,1,0,1,2,2,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,6,0,1,0
466586,56,1,0,5,1,0,1,1,3,5,4,999,0,0,1.4,94.465,-41.8,4.967,5228.1,3,0,1,0
100662,88,10,2,1,0,1,0,0,0,3,1,999,0,0,-1.8,92.843,-50.0,1.663,5099.1,0,0,0,2
849499,46,2,0,1,0,0,0,0,2,4,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,4,0,0,1
425961,41,2,1,3,0,1,0,0,2,3,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,5,1,0,1
427375,39,1,1,6,0,0,0,0,5,4,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,5,0,1,0
608061,32,4,1,3,0,1,0,0,2,1,1,999,1,1,-1.8,92.893,-46.2,1.299,5099.1,4,0,0,1
215016,36,0,1,3,0,1,0,0,4,2,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,4,0,1,0
677721,33,0,0,6,0,0,0,0,4,3,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,6,0,1,0
314902,37,8,0,5,0,0,0,0,1,4,2,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,7,0,0,0
634595,50,6,0,7,0,1,0,0,5,4,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,3,0,1,1
207446,32,5,1,6,0,0,0,0,2,5,1,999,0,0,-1.8,92.893,-46.2,1.313,5099.1,2,0,0,2
647511,49,0,0,6,0,0,0,1,3,3,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,7,0,1,0
404537,48,1,1,4,0,0,1,0,4,2,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,5,0,1,0
308876,60,10,0,1,0,1,0,0,7,1,1,999,0,0,-3.4,92.431,-26.9,0.739,5017.5,3,0,0,2
691980,25,3,1,6,0,0,0,0,4,2,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,4,0,1,0
987047,43,3,0,6,0,0,0,0,5,2,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,2,0,1,0
610683,29,6,0,4,0,1,0,0,4,1,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,1,0,1,1
591779,38,0,0,6,0,1,1,0,5,5,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,6,0,1,0
620217,48,1,0,5,1,1,0,0,4,4,2,999,0,0,1.4,93.918,-42.7,4.968,5228.1,1,0,1,0
470288,27,2,0,2,1,2,2,1,2,2,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,3,1,1,1
592978,42,2,0,3,0,0,0,0,4,2,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,2,1,1,1
560679,36,6,2,4,0,0,1,1,2,3,5,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,2,0,0,1
922412,34,2,0,3,0,1,0,0,4,3,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,3,0,1,1
136573,27,0,0,6,0,0,0,0,4,5,5,999,0,0,1.4,93.918,-42.7,4.962,5228.1,4,0,1,0
968738,35,2,0,2,0,1,0,0,2,5,1,999,1,1,-1.8,92.893,-46.2,1.25,5099.1,7,1,0,1
930611,44,1,0,6,0,1,1,0,1,4,2,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,7,1,0,0
833016,56,2,0,1,0,1,0,0,5,4,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,5,0,1,1
883382,30,2,1,3,0,0,1,1,8,3,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,1
810322,49,6,1,5,0,1,0,0,5,2,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,3,0,1,1
174720,38,0,1,4,0,1,0,0,2,2,2,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,3,0,0,0
186968,43,2,0,3,1,1,0,0,2,2,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,2,0,0,1
850803,32,1,0,6,0,1,0,0,8,4,1,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,0,0,1,0
785717,49,2,2,3,0,1,0,0,4,3,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,4,0,1,1
982689,30,1,0,5,0,1,0,1,2,2,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,3,0,1,0
766432,32,3,2,1,1,1,0,1,2,1,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0
105047,52,8,0,6,1,1,0,0,4,2,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,7,0,1,0
685428,36,2,1,2,1,0,0,0,4,1,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,1,0,1,1
158979,51,2,0,5,0,0,1,0,5,4,5,999,0,0,1.4,93.444,-36.1,4.962,5228.1,4,0,1,1
